RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,street,fromSt,toSt,Direction
15296,Manhattan,2013,6,10,14,0,58,173669,POINT (1000732.4 244885),W 165 ST,MC KENNA SQ/ST NICHOLAS AV,BROADWAY,WB
16599,Bronx,2014,3,24,21,0,68,141214,POINT (1017279.2 243489.1),EAST 174 STREET,AMTRAK RR,BODY OF WATER,WB
27183,Queens,2017,6,4,16,45,272,177440,POINT (1020614.412776157 219734.54452403172),LA GUARDIA ARPT ENTRANCE,Dead End,Dead end,SB
12255,Brooklyn,2010,10,25,3,15,11,29120,POINT (992269.7 183943.8),PROSPECT PARK WEST APPROACH TO CARROLL ST,CARROLL ST,PRESIDENT ST,SB
3320,Brooklyn,2009,5,15,12,45,26,25013,POINT (990657.7 154942.8),E/B AVE W @ WEST 6 ST,86 ST,W 6 ST,EB
23320,Staten Island,2016,4,18,21,30,24,11060,POINT (957651.3790301953 147284.21979055874),GREELEY AVENUE,Olympia Boulevard,Freeborn Street,SB
24346,Bronx,2015,9,24,7,45,97,186378,POINT (1008422.9759771157 247332.29923161125),CROSS BRONX EXPWY ET 2 A WB,Dead End,Dead end,WB
15598,Manhattan,2013,10,9,4,45,267,136811,POINT (995814.8 215897.4),F D R DR,FDR DR NB EXIT 12/E 60 STREET PEDESTRIAN OPAS,BEND,SB
30679,Brooklyn,2019,9,11,2,30,8,35250,POINT (997560.0627586475 202827.1108444862),NASSAU AVENUE,Guernsey Street,Bedford Avenue,EB
7221,Brooklyn,2010,11,30,19,45,250,158340,POINT (1017182.1 186621.8),W/B ATLANTIC AVE @ SHEPHERD AVE (N LEG),BERRIMAN ST,SHEPHERD AV,WB
22693,Queens,2016,3,27,7,45,4,189271,POINT (1000131.6917657978 208536.9913637284),BORDEN AVENUE BRIDGE,Borden Avenue,Dead end,EB
28006,Staten Island,2018,3,20,10,0,522,149198,POINT (937132.3664491847 145760.33531702144),FRESH KILLS BRIDGE,Richmond Avenue,Dead end,NB
